username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
dj_destrado,0,2,1,1,1
mixtapegio,50,27,66,0,1
m3rc3tf,1,0,1,1,2
ajun1037,1,0,15,0,7
kakiharafanzine,7,3,24,8,0
andmixtape,0,5,12,0,7
dj_duke,1,3,2,1,1
deepsoul,2,0,1,1,0
jasmine,5,1,21,0,0
aurohollo,1,0,0,0,0
leipeleon,1,0,8,0,0
houseofbilliam,0,1,8,0,1
doro,7,0,11,12,22
dori,1,1,0,0,1
Stone_Cold,144,1,111,62,365
substance,0,0,4,0,0
cheecho,4,0,6,1,3
dwhiteua,62,3,50,11,19
perdrepth,2,1,0,0,7
bobbybadfingerz,36,2,49,13,10
mindspins,1,0,1,3,16
deeprelove,6,4,39,7,17
jdarker,1,0,0,0,0
bigdolla,2,0,3,0,1
lynne,1,0,1,0,1
purkyxx1,1,0,1,1,0
Ev_B,1,2,8,0,1
thecheesesticks,2,1,1,0,2
tonytek,7,0,3,5,1
wurtz,2,0,4,1,8
biskyree,0,1,1,0,0
monomau,5,13,19,2,15
MustHaveSoul,18,0,3,0,0
superstardjs,8,2,14,0,0
Sasquatch185,0,0,16,44,110
MzYana,1,0,5,0,1
giombo,4,1,3,5,18
indanile,1,0,3,1,1
xdance,2,2,2,0,1
blade,2,5,12,0,2
mike_martel,1,2,0,0,5
h4ck3rm1k3,3,0,0,2,6
chemicalmusicfestival,0,10,58,0,2
ultrason,6,9,3,1,1
guidenso,5,0,1,0,2
djVax1,79,10,38,1,15
MOTP,4,1,3,2,7
DPF,1,1,1,0,0
DPK,8,0,0,1,2
Benoit,2,1,4,0,1
MartinBoss,9,0,20,0,1
RoughChop,12,3,15,0,12
SUBVIBEZ,2,0,1,0,0
joshdupont,0,1,8,0,0
ericstein,7,1,30,6,17
jerbo,3,0,0,3,5
andykeast,4,0,9,3,13
somuchbetter,10,0,16,44,177
electriklife,13,4,49,2,1
deeperdestination,38,2,53,0,2
joncaserta,3,0,9,1,5
ranacat,10,1,4,0,0
aeolian,1,0,2,1,20
boomshakalaka,0,12,21,0,6
simonreynoldsradioshow,0,3,12,0,5
Alexkaa,5,0,3,0,1
DjRickyS,42,17,35,6,23
mabel,5,5,7,3,23
sunseet,2,4,7,0,5
biginwigan,2,30,73,30,10
awaywiththefairies,4,0,3,3,3
diffrent,2,1,13,1,4
massacredinka,30,4,22,0,10
blackdaniel,6,2,15,0,3
Janky,2,2,0,0,4
jetlag,1,0,1,0,0
djpebsey,0,4,4,0,2
protectandelevate,1,1,0,0,1
and_what,68,8,90,4,55
nandrolonphenyl,1,0,0,3,18
eddisko,1,0,0,2,0
beckasaville,9,0,5,8,5
piterson,1,0,3,0,0
definisipop84,14,5,5,0,1
expatchart,0,4,1,0,0
Bigdaddy65,1,0,0,0,2
dsk,1,0,8,1,0
Dan_pulse,1,1,3,0,1
smc,1,0,0,0,1
dsc,1,0,0,1,4
shocker_tv,1,0,0,0,1
kekoyoma,2,1,1,2,0
SkarlettUGm,7,16,18,1,11
ulashs,8,0,21,0,15
scruff,3,2,2,1,4
rollersparks,0,4,9,0,0
zombiehead,1,0,0,0,0
csanda87,3,0,0,1,1
rkaveski,4,3,8,0,7
radixaster,1,0,0,0,0
pulsar,1,0,0,0,0
guillaumeberg,3,0,26,0,1
kenderson,5,0,5,0,0
upnoise,1,1,1,0,0
EevoNextEstroe,18,10,37,0,3
lega,7,1,31,0,0
guiro,6,1,2,0,2
Decoy_38,13,0,2,26,55
thebakerycollective,0,2,7,0,0
Frybinho,10,0,2,1,6
beatlab,3,0,1,0,0
bangkokradio,0,5,3,0,0
miguelgarji,1,0,34,1,0
Taylor_J,1,1,2,0,2
elmahdyjr,12,3,45,1,24
hayz,0,0,16,0,0
dj_Inferno420,17,2,6,0,4
pointaudio,23,0,14,0,1
outlar,0,1,20,0,0
matenlosets,2,1,6,0,1
McEtcher,4,0,12,6,6
zzmiey,1,0,3,1,4
casterseven,3,0,1,0,1
marashliev,5,0,11,19,71
RussB,5,0,14,0,4
djladyd,5,0,26,0,1
MikeShifty,4,1,6,1,1
Meleeva,0,1,3,0,1
kordite,10,9,47,11,12
mimmomeo,5,1,3,1,4
0FF3R1NG,12,3,17,5,53
einsneunzwei,3,0,0,4,4
Bane,14,5,7,0,3
michaelmanson,2,3,3,1,0
luser,0,0,12,0,0
wsupafly,10,3,7,0,4
thekrispytime,1,0,1,2,0
mystique,15,6,45,2,21
eavsounds,7,0,13,2,16
paulosantosdacunha,2,0,2,0,5
ipso,3,0,1,0,10
paulhasde,1,0,1,0,3
evidense,5,1,7,0,0
hemiptera,14,1,14,3,4
djdigita,4,0,12,1,1
lpx,26,18,31,35,14
nothingbutnet,4,2,29,1,29
bashelette,3,0,0,1,5
Oldfruitanting,1,0,0,0,0
SoundRehab,4,4,4,2,1
beatconscious,25,25,38,2,47
SuperMike,2,0,0,2,8
mixfreaks,2,3,2,2,3
deniscabaldi,15,2,22,2,11
recordsonribs,7,0,0,0,1
djchrisck,4,1,3,0,1
N_A_H,2,0,0,0,4
DjET,1,2,2,0,4
dykra,1,0,16,0,14
fobes,6,6,10,0,1
freshold,1,2,31,1,0
julianneumann,6,4,49,4,10
mikepofficial,0,0,12,0,0
ashhowell,144,5,53,1,1
Macholahava2380,4,0,0,1,2
dubzstepdreadz,5,0,1,2,5
playingwithknives,12,0,3,1,0
rubus,2,3,2,1,6
albacorecho,1,0,8,0,2
limeybanton,19,4,97,10,131
RMachete,5,0,0,0,3
DMT,2,0,3,2,2
Dailymix,33,6,108,39,69
jenneryls,4,0,23,1,2
zaza10,1,0,0,2,2
dasupa,7,0,13,5,7
FLESH,2,0,0,0,2
jahstep,7,0,0,5,5
largemaindidier,0,9,4,0,5
glitchmob,0,5,113,0,0
MiAmiNice,13,2,34,0,3
edgarum,3,0,10,0,1
Cush,36,4,15,0,0
3isbiggerthan5,2,1,2,0,0
ckeyprim,1,1,2,0,5
rory_gallagher_2010,3,1,10,7,5
danejah,0,4,3,4,1
gooper,3,0,1,0,9
DigiToLiA,1,0,10,0,0
chrisbangs,1,13,70,0,10
adapter,1,4,6,0,2
foulmouth,1,1,2,0,0
tikitoons,42,5,41,3,8
rafaelnoronha,2,3,14,0,2
madferretradio,4,1,12,3,4
fsterke,1,0,17,1,9
lukeutah,2,0,0,0,1
leetenant,9,2,18,0,3
slamina,18,4,24,6,5
fishley,5,1,3,8,4
clubbingspain,20,6,87,0,25
simonsee,1,0,2,1,1
tamiji727,1,0,1,2,5
chrome,1,0,1,1,3
dkoolmix,13,32,18,1,32
djwok,2,1,4,0,0
joere,18,0,2,1,1
fsopho,0,0,9,0,3
life,0,2,1,0,1
dropmusic,0,0,89,0,0
lift,2,0,1,1,3
bassment,0,0,2,0,0
kayzer,1,2,0,0,0
chill,0,0,33,0,1
starlifterradio,6,5,25,2,4
nujunkie,3,0,0,18,21
Mackchelios,1,0,1,0,0
DJFlood,1,5,11,0,1
thomass,0,0,7,0,0
Katarina,1,0,1,1,8
rent,2,0,24,0,0
yurialonzodj,1,0,3,0,0
t__northmusic,5,0,2,6,12
2Fad,0,0,13,0,16
seniorcanardoo,146,6,111,12,20
hedkandiradio,0,0,6,0,0
doorman,1,0,0,1,2
DaveMiller,7,1,67,0,0
pushforward,1,1,2,0,1
afanfm,0,0,10,0,0
ramideejay,2,2,10,0,7
phale,1,0,2,0,0
raadz,4,0,18,0,1
jorickcroes,1,0,0,5,1
liv3cat,3,1,1,1,1
Angeles,1,0,1,0,0
eomac,36,10,78,0,6
matsonic,1,0,0,0,0
toph,2,3,1,0,6
joser,2,0,31,1,4
bootycarrell,1,1,11,0,4
themixfiles,23,14,86,0,7
McBoy,1,0,3,0,0
Togetherclub,0,2,31,4,0
manmachine,0,0,6,0,0
audioagent,2,3,6,2,6
tomfarrand,3,0,2,1,8
stinkygreencat,3,0,24,1,0
simianacrum,3,0,19,1,0
jbrain,1,0,0,1,2
keremiseri,3,0,5,1,8
zoejazzmusic,0,0,11,0,0
sire_g,1,1,3,0,1
PhonodeepsMusique,0,2,1,0,0
danielvoicu,2,0,1,0,1
richie,33,3,58,1,6
rocketthieves,7,0,0,1,0
drboom,36,5,91,2,225
dirtyralouf,117,0,74,0,5
humphreyswill,3,0,0,1,3
fiendproductions,82,5,20,1,7
barracamusic,0,0,11,0,0
eddie_grime,5,1,0,0,1
disconnecta,6,3,8,2,4
Bizzar,4,2,23,7,19
vimal,7,2,13,0,4
sonicrouter,116,10,224,1,14
RobeeDarkhalf,9,6,6,0,6
mrbearmoozix,2,0,1,1,4
djlittleoh,0,3,5,0,0
bouncemaster,0,0,1,0,0
monsieurem,2,4,3,0,2
bluze,1,0,0,0,0
djlusinda,1,1,4,1,1
daffyd,2,0,2,0,1
djnikkiflame,21,4,25,5,7
dageki,1,0,21,0,0
ZacHendrix,0,2,3,0,0
cira,1,0,3,5,12
lareune,4,0,24,0,1
djdjole,1,0,8,0,1
jernej,0,0,2,0,0
ironbarsproductions,4,5,6,0,7
sacredcircle,0,2,1,0,1
ezrakh,1,6,2,0,2
babelunderground,14,0,34,9,5
uranuran,0,0,11,0,1
Faze2,4,0,105,2,11
ojott,177,0,78,71,47
DJDelights,2,0,1,0,0
electronicalabel,19,24,79,0,24
a1bassline,0,1,92,0,0
tophop,1,0,1,0,14
lapelupo,1,0,2,1,1
belugas,1,0,1,1,0
nelski,0,1,9,0,3
Nimaaaaa,2,0,1,5,17
Billunium,1,0,0,0,0
kouk,12,0,2,5,11
DJElie,0,1,3,0,0
koud,1,0,26,0,22
dasOpus,0,0,3,0,1
jeramy,1,0,1,0,1
cleliafelix,6,5,8,0,4
brigadiertego,1,2,9,0,2
verticalis,34,0,56,8,106
stevemurano,0,1,1,0,0
happy,1,0,0,1,1
typo,3,0,0,2,19
ShadowCompany,725,8,107,53,7
soulseekrecords,12,2,16,2,6
emeks,1,1,9,0,1
naoquixote,2,0,14,0,1
samsmernicki,2,3,3,2,3
andyblablaabla,138,4,17,1,13
dj_tipstarr,0,3,1,2,2
thecentrifuge,25,5,66,1,9
ramosdineros,1,0,0,0,3
graemeb,105,5,114,2,9
DELETEDMAY13,0,0,11,2,1
DELETEDMAY14,2,0,18,0,0
DELETEDMAY19,0,0,10,0,0
thelucidmovement,1,1,4,0,0
khu,8,0,9,1,9
fabriziocolasanti,28,7,16,0,4
anorangutan,25,0,8,0,1
JFitch,2,0,0,0,2
jdkhzn,2,0,0,0,2
bentosan,29,1,12,0,0
robrobot1984,11,0,1,4,85
indigomood82,3,0,1,2,1
laboxersmusic,116,1,61,5,2
LIDDIE,0,1,4,0,0
jahman,104,2,36,12,40
ruhan,6,0,9,3,5
RobAboud,36,0,19,1,3
amaury,1,3,21,0,9
wyssio,4,0,1,0,11
Speech_Fewapy_Radio,0,0,2,0,0
bjackman,2,0,0,1,1
djriot,13,12,5,0,69
leonardji,10,0,4,1,2
Rhines,0,7,9,4,3
EARMILK,0,8,18,1,6
charliedundeen,66,12,109,30,85
SneakieRosie,1,0,1,2,2
Velvet,2,0,1,0,0
satoshifumi,14,3,43,0,0
ves,1,1,4,1,1
yerd,34,4,33,3,33
brickboy137,7,0,0,2,1
jozue,1,1,1,0,1
alexxdesouza,3,1,15,1,12
thethirdparty,5,0,6,2,14
lincubus411,3,0,1,6,76
spacedust,3,0,14,2,9
eballi,1,0,0,2,5
sonora,0,1,8,0,0
Mikola,2,1,0,0,0
synthetique,2,8,13,0,1
ollie,2,0,15,2,17
metasoarous,1,0,3,25,48
tweakerray,4,3,16,0,2
egu_t,4,0,0,0,0
tonvanhoof,15,0,78,6,12
MotorCityElectronica,12,4,5,0,2
deepsoulfunk,7,5,4,1,1
yogreco,4,0,2,1,5
missyrishi,8,0,11,1,23
Bezu,132,23,75,6,31
PR04,18,0,42,0,163
voroserika,1,0,0,0,1
Come_Together_at_Space_Ibiza,0,4,44,0,0
hiro4,158,9,84,36,78
dan_mackie,19,0,33,1,81
diogofukumoto,3,4,2,0,1
BananaFish,8,0,8,0,6
letsgetdigital,93,0,77,14,27
sakina,1,0,13,0,1
WanderWool,2,0,0,0,4
dubdaniel,2,0,0,0,0
scotteek,1,0,0,1,2
skypromusic,7,1,3,0,0
keks_,9,0,8,4,17
Arzuki,0,5,3,2,5
macbuton,6,3,8,0,0
parasiteukr,1,0,0,2,3
Redbullchic,2,0,0,0,1
avalanchesound,6,1,15,0,2
ostasz,2,0,0,1,2
turntableeel,12,2,30,0,1
rdub,14,2,18,0,10
deeplink,7,1,16,1,0
lowreason,3,2,3,3,15
knickij,3,0,21,9,23
bonniebailey,1,0,14,0,0
cranque,0,0,4,0,1
efendi,2,0,0,1,1
mixamp,1,18,22,0,3
soundrel,1,0,0,0,0
rolandcortante,1,6,6,0,6
charliew,3,0,2,1,23
C_RL,1,0,0,0,0
Limb0,2,2,1,0,9
DeclanMurphy,1,0,1,0,0
casualsi,8,0,1,0,0
doppelganger,2,1,1,4,5
lumberjack,7,0,3,0,1
lovetoparty,5,0,2,0,0
theairportproject,0,1,1,0,0
DazManCat,1,0,2,2,3
trippmaticsk,9,7,13,1,7
wisefox,3,0,31,0,0
vash83,6,0,11,28,72
ionadavis,13,0,24,9,10
mikegenius,13,5,34,0,4
dj_lp,3,4,5,0,1
remnent,2,1,2,0,0
drearyweary,0,42,9,0,0
vinnyboy,1,0,0,2,0
matthk,1,0,1,0,1
Greg1012,20,0,5,3,7
djaup,1,0,2,1,1
danktreat,1,0,0,1,2
shyzo_but_smart,10,0,11,1,3
gumbo_yaya,1,0,1,1,1
J909,1,0,0,0,1
RomanSheema,4,10,25,6,11
MadMax,5,0,2,1,13
skyvereuter,3,5,19,0,11
gipson,1,2,1,2,2
jimwild,1,0,1,2,2
sdukdj,32,1,56,0,4
domski40,8,0,2,0,1
quickhitz,6,2,20,0,1
Salome121,0,0,4,0,0
theefilth,29,6,20,0,0
TheGrail,1,1,12,0,1
francodemulero,0,2,4,0,0
onaquest,1,0,22,2,2
supersonik,6,0,18,0,0
marfen,1,0,0,1,1
ggman,1,1,8,0,1
huffafc,4,0,0,0,0
koni,2,0,3,4,5
hayvanadam,1,0,4,2,3
thevortex,8,4,28,1,2
Bluething,1,4,2,0,10
kikisal,6,0,25,0,11
tacha,4,0,2,2,4
Novaseliv,0,0,5,1,1
steviewonderfuluk,2,0,0,4,24
DJ_World_Wide_Panik,6,3,14,0,0
shamelesspr,2,0,3,1,1
zdubalicious,1,1,2,3,3
djfrankisNYC,14,6,36,2,7
jeff_nelson,37,6,67,3,9
nooodlezz,0,0,2,1,17
TheNoiseCartel,0,0,13,0,0
TomSme,1,0,0,0,2
dd_black,5,15,81,0,8
bradcspence,1,0,7,1,2
klimanew,8,0,20,3,9
TalkingBalearics,1,9,43,4,1
toddie,1,0,0,1,1
MrFaria,82,4,87,0,46
portokaliteras,1,0,1,0,0
Lt_Fr0st,1,0,0,0,1
wascal,42,2,61,1,2
micknaughty,0,4,30,0,3
markwheawill,11,4,11,0,3
nufunkhungary,17,2,61,0,0
robotrockmusik,0,0,1,0,0
timburley,3,0,27,1,6
BLACKTAPES,1,0,2,0,14
Baggey,3,0,4,6,6
donnchadh,4,0,19,0,3
mrlingo,36,6,96,3,4
musicpupireland,31,7,17,0,11
famegames,0,1,2,0,0
sensimovement,26,7,128,8,24
waxta,2,0,5,3,2
sketchjunglesyndicate,5,3,4,0,2
tshepo,2,0,0,1,8
kazzzzz,2,1,4,0,1
gaff,0,0,12,0,1
cukanabolic,33,9,77,4,17
Djreel,0,7,8,0,4
opendecks,5,2,6,0,11
laimikis,1,0,25,0,5
fuckingfamousgame,0,1,10,0,0
votu,1,0,1,0,0
hardmusic,6,14,47,1,14
kakamoo,1,0,1,0,1
franckdevilleneuve,4,2,42,0,0
viberations,0,4,2,0,5
evail,1,0,18,0,1
JoshOBrien,1,3,4,1,0
rollerballrocco,10,0,3,3,8
92bpm,2,0,63,0,2
suit,1,0,0,1,2
Parkaboy,9,5,16,15,64
peachybeechy,4,0,1,0,4
totiandaloro,0,1,1,0,1
daleanderson,0,2,24,0,0
skyish,1,0,0,0,6
dirtyrapscholars,9,15,19,11,17
DjDannyA,6,2,6,2,1
future,0,8,26,3,8
adge,62,16,49,77,124
cengiz,1,0,9,0,0
cphear,3,1,1,0,1
keithnyc40,3,0,0,0,2
sheffieldbleep,11,6,42,2,13
lafathals,8,3,5,0,13
DELETEDJAN12,0,0,7,0,0
DELETEDJAN15,2,0,2,0,5
DELETEDJAN14,2,0,4,0,1
mandana,9,0,6,9,26
kortnija,2,1,34,0,4
kschubert,0,0,4,2,1
vousyetes,23,0,26,1,0
evowo,1,0,0,0,4
nickysmiles,26,5,8,0,2
joshitoshi,8,13,52,1,20
tukatz,39,7,67,12,33
sashimisoba,1,5,17,0,18
SFindlay,1,0,1,1,4
charchar,10,2,20,11,35
tarasvandevoorde,0,1,14,0,1
kasparsleists,1,0,0,2,1
janeOn,9,1,14,4,18
Strid,7,0,6,10,21
DJ_Wax_Daddy,0,0,1,0,0
axy,9,11,7,1,11
teamalpin,90,8,74,4,10
cwylie0,1,0,0,0,1
joeyuton,8,0,16,0,4
jared370,1,0,14,0,0
girlskissgirls,3,2,24,0,2
uniqbeat,0,4,5,0,2
zoltankassai,25,9,50,0,6
faz09,1,0,16,0,1
laurita,16,0,10,0,5
newislands,14,1,26,0,0
djsinanoguz,1,1,0,0,0
christianxrojas,6,0,9,1,1
domin8r,1,0,0,2,7
unkind,3,0,8,12,37
louise2198649,0,0,4,0,0
AndrezZ,3,2,2,0,2
daynotoy,2,0,2,0,3
robder,4,0,0,0,0
angel555,1,0,0,7,5
2BitThugs,0,2,14,0,2
lsnfntsdllctr,4,0,11,2,1
eamonhonda,9,3,5,0,9
psdadi,1,0,1,0,0
djcoffee,0,1,3,0,0
loopzilla,11,7,39,1,24
dmfproducer,5,0,1,0,1
djcolin0,0,1,7,0,1
soundcutter,6,2,11,0,13
gladkiy,38,10,33,5,1
dragon_wagon,1,0,8,1,0
starslinger,1,0,0,0,1
fantomazz,3,0,0,0,3
stevester,1,0,1,0,0
pwalker32,1,0,5,1,1
corrd,1,0,1,0,0
HakunaSound,0,0,2,0,0
SeBeatz,2,2,2,0,1
archijs,4,0,13,0,0
astralas,49,10,94,5,6
labelledominique,1,0,0,3,2
vinyluser,0,3,5,0,2
gretike99,2,1,1,1,10
mycool,14,21,68,0,12
soreel,2,0,15,0,2
readerswivesband,14,0,15,0,0
moko_jumbie,3,2,1,0,1
KLOSELINE,25,2,72,1,25
ladybugzworld,189,2,164,1,0
basicsoul,0,0,27,0,0
crazysunshine,1,0,1,3,8
barrygreaves,0,0,6,0,3
stereophonic,1,8,45,0,8
sentinel,27,2,22,0,7
unistu,10,0,9,0,6
winyl,28,0,20,8,97
sadoky,1,0,0,0,0
poisenloaf,3,10,12,2,15
huskiii,12,4,82,0,6
manacamix,4,1,5,0,5
davely,1,0,1,0,4
americanjunglist,1,0,3,0,0
vinaigrette_rien,34,0,47,16,105
dankbrownie,2,0,0,0,11
antifalten,3,0,0,2,2
ESME1969,0,0,9,0,9
daCoda,0,1,2,0,3
girts,2,0,10,1,5
BRAINFEEDER,0,0,13,0,0
FRQNCY,0,2,0,1,2
dsosa,0,0,7,7,11
djivan831,188,11,86,0,3
CleanWhiteT,1,0,0,0,1
megabytemike,0,3,46,0,2
kristovhoganova,0,3,5,0,2
ivanlaine,1,3,0,0,3
catchtwenty1,0,4,1,1,2
minitechproject,0,2,8,1,1
djampm,5,8,5,0,3
damoj,0,3,0,0,1
mariche,1,0,3,0,6
HighRen,3,0,1,0,1
lowfinder,38,1,10,4,30
workethic,3,1,21,4,5
marichi,11,0,30,6,21
grafikhustle,22,0,37,8,90
plastician,0,4,168,0,3
manuel_ricciardi_dj,1,0,2,0,0
costa,4,5,35,0,8
coste,1,0,0,0,1
djiota,2,5,2,0,6
joekollege,1,1,0,0,0
genia,0,6,14,0,5
DJTP,34,5,107,6,22
poloch,11,0,19,9,20
matenlo,4,0,37,1,1
blastercase,35,4,47,0,5
nogodie,9,2,4,0,5
ame880,2,0,4,13,31
djcloakdagger,44,10,46,0,21
djleequirke09,4,20,18,0,4
raziqrauf,1,0,2,0,0
nikosoukov,11,1,7,1,5
Jada2912,1,0,0,1,0
Pupse,1,0,1,0,2
Sunny_Ju,37,0,56,34,155
isle_of_trogs,1,0,0,3,8
travisland,1,0,0,1,0
djsene,0,2,1,0,1
EthanBrown,1,10,8,1,3
billfrosting,7,1,0,0,1
keysersoze,1,0,9,0,1
manav,1,0,9,1,1
beligi,1,0,2,0,1
Hit_By_A_Rock,0,0,2,0,0
SHOKK,9,8,43,5,26
deephouseforyou,2,1,9,0,2
FreshFringe,7,4,6,0,2
Housemates,29,1,49,0,0
freddela,7,4,32,4,2
wodawick,6,0,23,3,11
ArdaElectrO,5,10,3,0,7
importedalien,390,0,62,0,1
mosley,1,0,0,6,9
mhoenderop,6,0,3,13,126
boooom,1,0,21,1,0
OLIVER_RICHARDSON,0,1,14,0,1
pitsch,4,0,23,1,5
apiabadi,1,0,9,0,0
Ripler,1,0,0,2,2
RollersINC,3,0,1,0,0
ace,1,0,4,0,0
djabsurd,33,2,69,1,5
echoik,48,2,52,7,2
chris_in_there,1,0,0,0,1
BillieRayMartin,166,3,173,4,3
weetah,1,0,0,0,1
ThursdaysHouse,69,3,17,0,0
dilettante,0,0,4,3,8
RedMoonsMusic,0,1,1,0,1
pr1me,2,16,5,0,1
djbento,0,2,6,0,0
spaceci,2,0,2,0,0
HEPLovers,8,2,10,0,4
mousairadio,2,0,1,0,0
MSound,9,5,10,4,9
rickouellet,18,0,28,19,70
gulsever,25,34,31,1,14
rebelmotel,4,6,1,0,1
k4tukas,1,0,1,2,3
wasatronic,3,0,0,0,2
raggamuffinjunglesyndicate,84,8,76,1,5
tolgagoktay,1,0,0,0,1
b_bravo,2,2,17,0,2
serge_vo,1,3,1,0,0
grooveassassin,0,2,35,0,1
ericwilliams52,21,0,30,15,63
keyhmon,4,0,12,0,12
bogalooradio,32,17,68,8,13
djperoni,3,2,7,0,7
spacegarage,0,2,33,0,0
ricowilliams,7,0,4,0,3
aa,9,0,21,1,4
flooredcapri,42,0,15,3,16
ab,0,4,22,5,3
ad,2,0,1,0,0
djlwood,8,0,10,0,1
DJSilverfox,6,0,2,1,0
herbokubilenadam,1,0,9,2,3
ak,58,6,78,0,7
RASKWAME,12,8,77,8,6
dejoe,17,1,18,1,5
aw,17,4,7,0,15
tivanych,2,0,8,0,0
audiotrip,1,0,1,0,0
supercollider,2,0,7,0,3
inverted_audio,147,2,90,0,8
spatial,31,2,121,3,14
favelablastoff,6,5,14,0,0
Es_x,1,0,0,0,0
fuckmyeardrums,1,1,0,1,1
damnably,10,7,6,2,2
madlib,0,0,14,0,0
djnaumov,1653,6,150,4,3
jerryg6116,2,0,12,3,3
AllofyaBooshikA,10,0,20,0,41
humorlessproductions,0,0,1,0,0
theclosersound,187,19,111,117,312
johnboy,11,0,4,0,12
mimii,81,0,48,11,46
rxs,108,1,27,0,1
cps,6,0,6,0,7
jdray,1,0,0,0,0
emce,3,2,2,2,4
bukaznik,0,0,4,1,1
KnowItAlls,2,0,1,0,1
shauny37,1,0,0,1,1
bebetto,1,0,7,0,0
baseband,2,0,5,2,4
cafesociety,2,0,4,2,4
melobloom,7,0,27,2,11
BenjaminC,2,0,0,0,4
brotherjug,0,0,8,3,0
musicadoscero,5,3,1,0,2
guardianmusicweekly,0,17,13,0,0
teilchenzoo,2,0,0,0,4
lukewalkermusic,1,2,0,1,15
darzhliebek,14,12,34,8,53
Wolf,37,0,32,0,29
emc1,1,2,1,0,1
djdicht,11,3,19,2,13
mixmastaman,2,0,0,1,0
zefer,1,0,8,0,0
BenGpa,19,0,49,20,34
jammers,3,0,5,1,0
mikelennon,1,0,29,0,0
globalsouljah,11,23,85,3,4
steveferrand,14,2,15,0,5
djfeders,1,0,0,0,12
aleksdiscodust,0,0,111,1,0
ruari,15,1,30,0,0
tardie,1,0,5,0,0
durchhaltestelle,2,3,5,3,11
fikelau,2,0,14,0,21
scousejohn,1,0,0,0,0
cast,0,61,16,0,0
vetler,1,0,6,0,3
mr_cash,6,1,3,0,4
eskimo13bees,1,0,5,1,4
djdavidmyles,22,3,9,0,3
corticyte,24,7,35,1,10
deeptechman,7,0,8,3,16
nonform,17,11,19,0,16
Djicm,0,3,1,2,3
theechochamber,0,0,4,0,2
magneticsoul,0,1,3,0,1
MonsieurAndMadHam,22,5,46,1,9
benpistor,0,0,10,0,0
joshuas,3,0,2,1,0
xCPCx,22,7,55,0,12
darriusmuzik,2,1,15,1,1
lukinodj,3,1,2,0,1
pick,8,0,17,10,14
paddedthought,3,9,3,0,2
originalschumi,14,7,36,1,3
djnelson,6,0,16,0,1
dezzdesmond,8,12,28,0,6
ViBeS,2,0,0,0,0
TurntableScience,4,0,16,0,0
chrizzle,3,0,0,0,1
ritenhour,5,0,16,0,9
elliotwright,0,4,13,0,2
djfantaz,6,3,16,0,8
DigitallDJ,3,0,1,0,3
innerspace,13,0,10,3,7
TheLazyTechnician,3,1,18,0,23
Maximalminimal,0,0,5,0,0
coyotl,1,1,0,0,1
hay68,9,0,6,0,12
rabou,1,0,2,0,7
Grogdor,2,0,1,0,3
joaopombeiro,2,0,0,0,0
djvaden,1,1,0,0,0
Romalex,0,0,2,2,2
actogratuito,2,0,0,1,1
TomSpecialInterest,12,2,41,0,0
sense,0,0,4,0,0
sensi,4,0,1,35,33
basanabasa,3,0,1,0,18
phatdadi,61,0,41,0,0
mwnau,1,2,7,0,4
rawbeats,6,2,8,2,3
michael1406,33,0,44,2,10
JackXI,1,6,3,0,0
Deejay_Mokavich,2,1,7,3,1
iammusic,97,0,1,0,0
dirtyfanclub,1,1,5,0,0
clarabeau,2,0,1,3,8
MarkusSchulz,0,0,22,0,0
le_bateau_ivre,2,0,0,1,1
greickjhozsu,13,0,4,0,2
wrench,1,1,0,0,2
mimicmusic,2,1,12,0,1
mexican,3,2,2,2,3
Computerchris,9,0,28,1,5
digsville,0,1,9,0,4
gnpolec,8,0,2,6,18
brianlight,1,0,5,0,1
betaman,10,0,11,0,10
darkroomrobot,0,0,3,0,0
djzeyhan,0,2,2,0,0
rapturedean,0,1,2,0,2
joshbonze,1,0,18,1,3
hoop,42,0,62,5,3
radio1,0,45,14,0,5
elipp,7,3,3,5,23
MoonDust,4,1,12,1,5
fthebiters,1,2,2,0,1
ttharkin,3,1,13,0,1
odie,47,9,32,2,26
venimosensondepaz,21,0,19,8,20
upsetter,1,0,10,0,4
djtomlilienthal,3,1,0,0,2
jonnyjay,1,0,1,1,1
errata,6,0,8,3,12
plugandlay,5,13,31,0,4
chrisreadsubstance,701,10,361,13,35
srsbizniz,9,7,7,0,19
Theo97,2,0,2,0,13
tyvianc,2,0,0,0,1
supermarny,4,0,0,1,13
silky,0,1,7,1,0
Fundamental0nedjs,2,2,9,0,4
Birgiss,5,2,5,0,2
olefir,1,0,13,13,48
gareth53,22,10,69,0,4
tiramisu,1,0,1,0,0
cybertaf,1,0,3,0,0
discocaine,68,2,66,7,46
misshottracks,20,12,89,14,28
groove_ro,4,1,11,0,1
kitschyrecords,0,0,1,0,0
kisandi,32,0,54,17,2
grandeandre,0,5,1,0,4
beatkitchen,1,2,22,2,0
enkryption_projekt,0,2,32,0,0
DJGib,3,0,9,3,0
ambervenndiagram,1,0,0,0,2
blakeandgoodwin,1,0,12,0,1
djsherkhan,2,0,2,1,2
terrafonix,0,1,12,0,2
decksinthecity,0,4,9,1,0
grgech,1,0,1,0,0
sinclair,1,0,2,0,1
dannydelorian,82,6,69,5,6
lemomo,1,10,7,0,10
moranji,22,0,33,8,18
alexotiv,2,0,12,2,0
nimphenomenon,2,0,13,1,4
