username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
dickdotcom,0,0,7,0,0
robsen,0,0,7,1,0
sunandbass,0,0,74,0,33
scottbulloch,2,0,6,1,2
elelta,16,0,44,13,12
pushingit,2,0,4,1,1
jaggeree,0,0,6,0,0
nalo,3,0,2,1,39
joeboe72,16,0,57,33,388
DigitAlJunKey,2,0,16,0,1
nasta,1,0,7,0,2
Al_the_kemist,0,0,4,0,3
tonypoland,30,0,207,10,3
JammyJay,0,0,8,0,0
natefancher,0,0,8,0,1
soundboy,5,0,53,0,0
yogibasics,769,0,283,10,9
florenzsanchez,553,1,138,1,0
chocolatehobnobs,12,0,57,0,65
Paula,3,0,12,0,0
fascinated,0,0,56,0,0
djtosbin,0,0,2,0,0
louberts,2,0,14,0,4
kjd,0,0,2,0,0
kpelckmans,0,0,2,0,0
808m,9,2,9,1,6
BoomBap,6,1,39,1,17
jamieanderson,0,1,11,0,0
chaileyjem,1,0,25,0,0
copperbeechy,3,0,3,4,6
bbeatzpodcast,0,2,1,0,0
AlexParsons,83,2,61,1,0
mattsever,308,1,104,1,0
monsterbobby,0,2,66,0,0
soulmindnb,481,1,101,0,0
Beatport,0,5,281,0,0
gideon,35,9,66,9,17
rinocerose,0,3,14,1,0
DJBERG,2,3,12,0,10
thefratellifidget,134,1,41,3,0
MattyBlades,57,2,27,1,1
LukeFDM,5,3,25,0,3
ruffm,0,4,17,1,2
norman,0,2,2,0,2
Carlitobigante,35,1,33,4,7
andres_marcos,1,4,3,0,2
piranhabryanna,14,1,37,23,85
Alena_Arpels,97,3,47,3,9
Phattic,15,0,6,0,0
mogmachine,0,2,15,4,14
JimPanzer,32,2,53,2,0
Inertia,1041,4,325,0,2
Blakey,8,3,92,1,1
stephenfry,0,1,87,0,0
domtak,5,4,35,0,0
DJDannySalgado,0,1,18,0,0
BADe,2,3,12,1,2
ChaseCooper,0,2,9,0,0
WillieStyles,8,1,48,14,119
jedrobbins,21,1,11,1,1
leecoombs,225,3,118,0,0
Hungry_Man,38,3,33,0,3
kaset,1,3,45,1,13
rivastarr,11,3,589,1,0
elvisofdallas,41,3,66,1,5
mnuvrs,0,5,71,0,0
emmakid,0,1,5,0,1
