follower_count,freq
2.0,3672.0
8.0,703.0
19.0,270.0
1.0,7394.0
25.0,198.0
0.0,8043.0
29.0,142.0
28.0,146.0
14.0,388.0
4.0,1546.0
51.0,67.0
37.0,103.0
33.0,119.0
3.0,2224.0
20.0,281.0
31.0,148.0
34.0,121.0
44.0,70.0
39.0,98.0
167.0,9.0
7.0,806.0
11.0,533.0
52.0,53.0
16.0,329.0
17.0,308.0
9.0,658.0
45.0,86.0
12.0,486.0
15.0,343.0
121.0,8.0
18.0,305.0
6.0,942.0
5.0,1159.0
58.0,39.0
10.0,556.0
339.0,3.0
36.0,121.0
423.0,1.0
13.0,388.0
139.0,3.0
66.0,41.0
53.0,66.0
109.0,12.0
23.0,227.0
75.0,38.0
50.0,60.0
143.0,10.0
24.0,218.0
76.0,18.0
158.0,6.0
132.0,6.0
147.0,2.0
72.0,26.0
27.0,160.0
84.0,23.0
80.0,23.0
524.0,1.0
74.0,36.0
86.0,25.0
38.0,93.0
32.0,126.0
63.0,31.0
26.0,183.0
55.0,54.0
57.0,48.0
70.0,37.0
207.0,3.0
283.0,1.0
138.0,9.0
56.0,59.0
61.0,53.0
104.0,11.0
101.0,17.0
281.0,1.0
41.0,85.0
47.0,70.0
325.0,1.0
92.0,17.0
87.0,24.0
35.0,144.0
48.0,61.0
118.0,9.0
589.0,1.0
71.0,25.0
30.0,145.0
96.0,15.0
137.0,6.0
959.0,1.0
97.0,14.0
252.0,4.0
182.0,2.0
49.0,65.0
21.0,257.0
60.0,49.0
42.0,79.0
131.0,9.0
243.0,1.0
82.0,19.0
22.0,229.0
59.0,54.0
46.0,67.0
89.0,19.0
40.0,86.0
67.0,29.0
85.0,29.0
95.0,16.0
115.0,14.0
62.0,32.0
88.0,25.0
43.0,71.0
117.0,14.0
246.0,1.0
248.0,5.0
674.0,1.0
618.0,1.0
322.0,1.0
90.0,16.0
355.0,1.0
464.0,1.0
1337.0,1.0
165.0,6.0
69.0,41.0
78.0,33.0
164.0,5.0
77.0,21.0
144.0,7.0
312.0,1.0
409.0,1.0
112.0,14.0
152.0,8.0
173.0,3.0
65.0,44.0
91.0,15.0
454.0,2.0
81.0,22.0
120.0,9.0
136.0,6.0
100.0,6.0
183.0,3.0
146.0,5.0
73.0,36.0
198.0,1.0
123.0,8.0
284.0,1.0
79.0,22.0
130.0,6.0
417.0,2.0
180.0,3.0
154.0,6.0
296.0,4.0
68.0,30.0
157.0,3.0
258.0,1.0
386.0,1.0
396.0,1.0
140.0,3.0
124.0,8.0
133.0,4.0
153.0,2.0
54.0,41.0
422.0,1.0
769.0,1.0
106.0,12.0
110.0,8.0
93.0,21.0
331.0,1.0
105.0,10.0
309.0,3.0
64.0,33.0
134.0,7.0
98.0,18.0
103.0,18.0
94.0,12.0
127.0,7.0
983.0,1.0
565.0,1.0
175.0,7.0
119.0,2.0
449.0,1.0
126.0,7.0
171.0,4.0
176.0,3.0
297.0,3.0
462.0,1.0
108.0,9.0
185.0,2.0
83.0,23.0
174.0,5.0
221.0,2.0
251.0,3.0
863.0,1.0
168.0,5.0
816.0,1.0
161.0,2.0
240.0,2.0
498.0,2.0
260.0,1.0
227.0,1.0
116.0,13.0
188.0,2.0
262.0,1.0
234.0,2.0
316.0,1.0
416.0,3.0
511.0,1.0
102.0,15.0
148.0,5.0
272.0,2.0
715.0,1.0
363.0,1.0
212.0,4.0
291.0,1.0
358.0,1.0
111.0,8.0
113.0,7.0
224.0,5.0
107.0,11.0
114.0,12.0
128.0,5.0
150.0,5.0
361.0,1.0
187.0,2.0
129.0,8.0
177.0,3.0
172.0,4.0
466.0,2.0
218.0,5.0
141.0,8.0
194.0,3.0
279.0,2.0
237.0,3.0
193.0,2.0
394.0,1.0
201.0,1.0
602.0,1.0
216.0,2.0
1008.0,1.0
762.0,1.0
155.0,4.0
170.0,3.0
160.0,6.0
122.0,4.0
428.0,1.0
228.0,3.0
178.0,3.0
516.0,2.0
219.0,1.0
302.0,1.0
294.0,1.0
204.0,3.0
163.0,4.0
233.0,2.0
648.0,1.0
1237.0,1.0
388.0,1.0
606.0,1.0
292.0,4.0
247.0,2.0
156.0,3.0
189.0,3.0
403.0,1.0
186.0,4.0
254.0,2.0
232.0,3.0
197.0,3.0
99.0,10.0
209.0,1.0
255.0,2.0
203.0,2.0
295.0,1.0
327.0,1.0
236.0,4.0
125.0,4.0
200.0,2.0
261.0,1.0
273.0,1.0
266.0,3.0
282.0,2.0
308.0,1.0
277.0,1.0
1254.0,1.0
1199.0,1.0
553.0,1.0
184.0,2.0
205.0,1.0
531.0,1.0
735.0,1.0
181.0,2.0
217.0,3.0
792.0,1.0
329.0,1.0
142.0,2.0
222.0,1.0
353.0,1.0
523.0,1.0
984.0,1.0
499.0,1.0
195.0,1.0
286.0,1.0
220.0,1.0
382.0,1.0
145.0,4.0
359.0,1.0
478.0,1.0
348.0,2.0
259.0,2.0
600.0,1.0
169.0,5.0
199.0,3.0
135.0,4.0
932.0,1.0
307.0,1.0
241.0,2.0
206.0,3.0
408.0,1.0
1078.0,1.0
244.0,2.0
162.0,1.0
569.0,1.0
380.0,1.0
556.0,1.0
229.0,1.0
360.0,1.0
213.0,1.0
384.0,1.0
535.0,1.0
508.0,1.0
310.0,2.0
753.0,1.0
324.0,1.0
250.0,2.0
637.0,1.0
1109.0,1.0
694.0,1.0
626.0,2.0
210.0,1.0
376.0,1.0
276.0,1.0
572.0,1.0
477.0,1.0
992.0,1.0
179.0,1.0
609.0,1.0
289.0,1.0
196.0,1.0
356.0,1.0
192.0,1.0
344.0,1.0
305.0,2.0
151.0,3.0
741.0,1.0
925.0,1.0
921.0,1.0
471.0,1.0
317.0,1.0
231.0,2.0
732.0,1.0
534.0,1.0
399.0,1.0
584.0,1.0
354.0,1.0
525.0,1.0
483.0,1.0
1097.0,1.0
446.0,1.0
839.0,1.0
404.0,1.0
1007.0,2.0
488.0,1.0
878.0,1.0
710.0,1.0
429.0,1.0
191.0,1.0
684.0,1.0
235.0,2.0
480.0,1.0
888.0,1.0
864.0,1.0
708.0,1.0
598.0,1.0
496.0,1.0
402.0,1.0
632.0,1.0
345.0,1.0
875.0,1.0
425.0,1.0
410.0,1.0
352.0,1.0
814.0,1.0
392.0,1.0
149.0,1.0
785.0,1.0
303.0,1.0
421.0,1.0
552.0,1.0
278.0,1.0
1487.0,1.0
346.0,1.0
