username;ref_as_follower;ref_as_following;ref_as_faved
bytz;15;4;0
djgarygillespie;2;4;0
dbugd;59;48;1
WAVES;65;7;0
jonny_boy_records;2;22;5
DjLimitz;8;17;0
tapebox;2;11;4
JOEKAY;30;56;7
Chemikalrecipe;22;7;0
filthydukes;16;466;182
aliana;17;15;0
djgraffiti;0;9;0
Antoine1;0;16;0
truthoughts;0;317;145
mikecheckum;8;5;6
spartacus;18;96;14
natefx;0;1;0
indjstione;1;9;1
DanceHallKitchen;119;35;1
mateoklaic;15;5;1
Freshunsigned;11;14;1
djcodeblue;51;174;40
magnedisck;5;0;0
a_l_a_n;3;4;3
teamspirit;0;0;0
billyrohnsen;12;9;0
freshsqueezedksfs;2;5;2
pikto;2;8;0
drumzofthesouth;28;21;1
unoo;1;1;0
illness;0;5;2
gusgranite;44;15;1
redsoul;0;2;1
tha_pablo;8;3;1
valtlibert;2;1;0
brabanit;29;33;0
voodoofunk;1;116;33
flangerouss;6;6;1
Nato;4;5;0
uploadtest;3;3;0
imthemachine;10;14;5
jellyjazz;0;45;7
nicolahs;0;2;1
mrzenes_sessions;29;31;1
dinosaurs;24;21;0
STV;1;7;5
LE;8;0;0
fd;22;15;1
hdif;46;58;10
smnoize;57;45;3
synthesizerman;167;103;24
rabenschnabel;0;11;0
rarereviews;11;11;2
joanbarnes;1;5;0
wildbloodandqueenie;156;75;1
LaidBackRadio;12;1337;652
AnswerMeThis;3;28;2
FreeEnds;4;0;0
riotous_rockers;0;5;2
sx;80;37;1
98dmalcolm;7;25;1
Phantomas;7;48;4
mjl;1;1;0
mezz;1;2;0
DjSurfer;369;143;1
djastrus;4;2;0
uptowntopranking;51;75;2
bigwheel;8;3;0
djEverett;17;35;3
kadibeats;0;3;1
anothermultiplicator;3;5;0
NubiS;3;7;2
aaronpavis;2;3;0
jakubdymek;13;58;11
teaandcakerecords;258;266;54
JohnJonesDj;0;9;4
dirty_j;3;1;0
LittleRobsBigTunes;1;1;0
pikpik;2;0;1
housebox;21;29;0
kanberhakan;5;8;0
gr0t3k;13;5;1
hervewizla;2;132;72
martinezeme;1;6;0
johndigweed;0;732;177
dough;674;103;33
dougiedagnabit;24;21;1
refried;2;11;2
bloodrainbow;1;4;1
peppo;1;0;1
alberto_rahim;4;2;0
ezequielmarotte;39;19;0
h1m1;1;1;0
mrdirty;0;1;1
pegerteg;140;132;1
djlaud3r;2418;339;3
markanthondj;2;1;0
DISTORTION;0;2;0
djramonb;3;7;0
destro;458;81;5
DJVal;5;8;0
clubdumonde;1581;425;15
rosielee;0;2;0
beatnick;0;57;4
jonbrady;4;3;2
thejackboyz;0;1;1
Aaronaudio;0;11;1
jimbreese;1005;228;7
pawnhearts;0;1;0
daekano;2;3;0
ethylmusic;0;16;2
miss_dlove;1;1;0
rosslogie;1599;488;10
djbinaural;449;87;0
alibenz;80;35;1
iside;4;4;0
Niko_Le_FurTiF;2;1;0
mnuvrs;0;71;3
MissBlitz;5061;875;41
djaktarus;5;3;2
borracho;611;203;2
sph1970;2;23;12
elvisofdallas;41;66;6
hhtechno;0;0;0
backgroundnoise;3;28;3
2bcontinued;8;6;0
homegrown;55;57;1
kemzino;1;1;0
lilostitch5;2;7;0
janecandy;1;4;2
nomarkit_radio;1;43;43
payback;18;252;60
RareFM;22;34;0
DMAX;228;250;44
indiabeat;11;15;3
krewlio;1;1;0
newpollutionmagazine;26;67;11
CJ_Mills;3;1;0
kentron;15;9;1
robotnine;11;9;2
droy;1;11;0
SHOCK39Bangkok;2;1;1
jinmart;1;2;1
kaset;1;45;53
goldsack;2319;346;2
jaykitts;14;7;0
thepower;8;2;0
chunkfoofighters;3;4;2
vonparker;5;11;0
djern;0;6;4
Hungry_Man;38;33;2
randomage;0;3;2
DjAleph;1;7;2
foxache;0;7;0
leecoombs;225;118;8
kyngbee;4;14;3
footfetishrecords;6344;632;7
fmproject;3613;402;4
darkmode;2;14;1
Going_Back_To_Our_Roots;14;8;1
coopablu;7;11;0
ClearCut;0;20;4
jedrobbins;21;11;1
djjoston;6;10;1
cubikmusik;41;91;25
ct1904;4;12;0
dermage;2289;496;25
WillieStyles;8;48;3
derberber;2;10;3
badmojo;29;33;2
DJ_IC;2;3;0
Dj_Chewo;1;30;4
nsfw;4;4;0
djDKN;5053;598;18
BADe;2;12;3
technomafiarecords;1718;1007;220
tony_s;5;15;2
DJDannySalgado;0;18;0
domtak;5;35;4
alexigozard;15;7;0
paulriley;94;109;21
stephenfry;0;87;4
sooor;13;2;0
woody_homegrown;0;4;3
sandresky;4;1;0
Nikolay_Dochov;3;2;3
brawlcast;18;21;5
rv;26;32;4
djfury;0;7;0
olanallcity;0;7;0
AFRMUSIC;1;1;0
KingTruman;3;11;5
russla_labrat;2;3;1
vandal;10;26;0
zer0zen;10;7;0
dj_mado;8;9;1
dubinch;9;6;0
mason;0;87;4
Belka;30;16;1
rethinkdaily;13;4;0
johnlew;5;8;3
blnd;42;87;17
johnandon;48;31;0
pwedza;1;1;0
wheee;8;7;0
surrendermarcy;1715;237;3
djkenstone;0;14;1
mileagedubist;7;6;0
resistor;0;6;0
planetkl;6;33;8
gotjebus;7;18;4
suppakid;2;10;0
djrodrigozimbres;3;1;0
