username;ref_as_follower;ref_as_following;ref_as_faved
untitledtheindierockshow;0;3;0
Slpacman;64;53;5
peenko;1;3;1
WorksOfMart;0;1097;440
doom_boy;37;37;2
lukehandsfree;10;21;1
peter_seligman;1;2;1
government4000;13;6;0
djmanifest;4;1;0
maxwell;2;12;0
Trylogic;2;2;0
ndddkn;1;9;1
gands;20;13;3
MaximalGang;0;10;0
fabbbbbio;13;29;4
james_j6;9;51;21
gilesk;66;70;9
kuze;34;12;1
PsynOpticz;0;8;0
MarkTheMachine;2;2;0
djoneman;0;6;4
BrownswoodRecordings;0;176;15
bdpcali;0;5;0
moveya;1;7;2
deception;8;3;1
fabric;0;888;139
themoth;0;19;0
antonyjmhowe;0;6;0
bigmoeproductions;465;144;2
funkskillz;182;98;11
combinator;0;3;0
djcreal;2;1;0
djdieyoung;5;11;3
DiuKKe;13;4;2
oneofakind;40;55;12
tiftik;2;1;0
DjNoldar;0;0;0
valta;52;71;4
NBM;0;5;0
rudeboy;15;18;0
Mtrik;17;9;1
vosgueules;5;13;0
missp;19;22;0
pearsall;11;4;0
DJManuElChino;3;0;0
maxpollyul;24;20;1
guardianfootballweekly;0;11;0
zakgee;44;12;1
eleganthands;224;103;3
r4u1;8;3;0
DELETEDJAN17A;3;10;0
monsiuerbarto;6;34;1
BelleVue44;65;48;8
phunktronix;3;3;2
soulray;16;6;0
itch13;14;16;1
djnadr;0;1;0
jeffbennett;0;59;2
andosound;3;2;0
Ches;13;12;1
ukolov;1;3;2
pull;6;14;0
Chappellza;5;1;0
djdaddybob;0;5;0
ledhead;235;41;3
1Piece;11;17;1
mikeymisi;16;52;1
piercardinmix;6;44;14
ravin_rom;1;5;0
versuselectronics;6;24;3
smasher;10;45;2
diegosalvador;2;3;0
pinkychukkles;2;44;6
yolaman;15;33;1
oxfordunibusiness;0;22;1
guruslan;4;23;0
Airidasfusion;31;28;4
seanswisz;1;3;0
russcuban;12;24;5
simonlangham;0;3;0
toellby;1;0;0
norman;0;2;1
more;10;6;1
ua;0;9;0
AmyGrante;247;83;1
ericp;18;41;6
gastonet;0;6;1
matierenoire;7;2;1
djbrandname;51;73;4
hellman;1;1;0
inbeats;31;29;0
theilp;1;9;0
djforcespas;3;7;0
marafiotidj;0;0;0
matpayne;60;98;7
olivetonic;14;24;2
yoshishi;4;4;3
gamartstudios1;0;0;0
ivanenot;68;56;5
drewac;13;3;0
pantsparty;150;96;10
inalbion;6;23;1
kjv_music;28;19;1
Liapin;4;3;0
dorin_zlx;28;23;0
MITpress;0;16;1
Gnome;1;2;1
dubgabriel;44;45;1
legobeat;3;7;3
milesbonny;42;101;13
dbty;15;6;1
Mephs;0;1;0
speakerhumpin;7;4;6
Hark1Karan;14;23;5
padraigmcmahon;15;6;0
basstation;4;21;3
drumandbassarena;0;144;17
flytronica;92;95;18
sfdparis;215;164;27
Tenzamusic;7;0;0
clubdelmar;0;11;1
rastyn;26;9;1
rbrt;12;6;0
dotpim;3;17;5
reash;6;7;0
coltep;119;73;12
LAZERFACE;9;3;0
driftingfalling;2;11;6
AcidJacks;7;137;4
sedataltinok;8;19;0
calitron;4;5;0
ministryofsoundclub;1;199;23
illuminationproject;0;0;0
OndaSonora;67;218;51
joshdamon;3;26;2
FortKnox;72;534;184
djprinz;4;25;5
volumebalance;2;2;0
DJDVDA;0;7;0
sughoclub;0;6;1
andykisaragi;3;3;2
U;11;14;0
flyboy;33;31;4
djnicenoise;9;19;2
bogdantaran;0;10;0
hawker;18;31;0
audiosmith;8;4;0
muddworxx;3;4;1
thomasray;1;2;0
VSPUrbanVibrations;1;40;9
superabenteuerboy;6;4;1
fraser81;10;5;2
bgpz;8;21;3
electroplated;7;43;12
philuccio;16;15;1
danielsandersdj;15;23;6
thetuesdayclubdjs;0;8;1
Chumb4;1;1;1
Blakey;8;92;15
djorion;9;5;0
svolanski;44;21;1
